id,stream,site,month,type,functional_group,ind,total_biomass,per_ind,n_mg_g,p_mg_g,TN,TP,np
1,CC,CCD,April,urban,collector,75,246.5790179,3.287720238,44.55877776,2.699077552,10.98725966,0.665535892,14.37063666
2,CC,CCD,May,urban,collector,6,20.4,3.4,117.3305759,28.74448215,2.393543748,0.586387436,4.476777821
3,CC,CCD,June,urban,collector,26,34.21250292,1.315865497,101.7766432,16.44663404,3.482033705,0.562680515,8.197360072
4,CC,CCD,July,urban,collector,34,49.37727273,1.452272727,29.60126481,4.031991521,1.461629725,0.199088745,9.323126734
5,CC,CCD,August,urban,collector,31,98.9425102,3.191693878,75.71045033,4.770177101,7.490982004,0.471973296,16.7833102
6,CC,CCD,September,urban,collector,7,9.52,1.36,155.0261458,,1.475848908,,
69,CC,CCD,April,urban,predator,1,0.005,0.005,,,,,
70,CC,CCD,June,urban,predator,1,17.31,17.31,99.40598642,2.781065858,1.720717625,0.04814025,35.74384481
71,CC,CCD,July,urban,predator,2,18.34,9.17,139.2494547,9.199000364,2.553834999,0.168709667,15.13745508
131,CC,CCD,April,urban,scraper,13,10.7575,0.8275,54.58200758,1.558409091,0.587165947,0.016764586,35.02418453
132,CC,CCD,May,urban,scraper,1,3.1,3.1,70.1708871,9.106774194,0.21752975,0.028231,7.705350501
133,CC,CCD,June,urban,scraper,29,32.77890351,1.130307018,122.3688774,29.63378656,4.011117624,0.97136303,6.083295319
169,CC,CCD,April,urban,shredder,1,0.005,0.005,,,,,
170,CC,CCD,July,urban,shredder,1,1.43,1.43,,,,,
171,CC,CCD,September,urban,shredder,1,36.42,36.42,42.49195497,4.145821893,1.547557,0.150990833,10.24934406
7,CC,CCU,April,rural,collector,24,8.127058824,0.338627451,242.8761595,17.99587597,1.973868835,0.146253543,15.07075457
8,CC,CCU,May,rural,collector,72,86.78840997,1.205394583,132.430395,19.74470265,11.49342341,1.713611349,13.85865851
9,CC,CCU,June,rural,collector,25,126.3809524,5.055238095,124.4667319,34.99474355,15.73022411,4.422669018,30.93321013
10,CC,CCU,July,rural,collector,28,13.52781818,0.483136364,129.5770059,10.17490725,1.752894176,0.137644295,14.89356935
11,CC,CCU,August,rural,collector,28,15.54553846,0.555197802,125.2859768,5.818152389,1.947637971,0.090446312,21.90373047
12,CC,CCU,September,rural,collector,6,0.03,0.005,,,,,
72,CC,CCU,April,rural,predator,7,4.800833333,0.685833333,294.9962805,19.33743902,1.416227977,0.092835822,15.25518866
73,CC,CCU,May,rural,predator,12,507.402,42.2835,85.51730877,4.82663324,43.3916535,2.449043359,29.76610422
74,CC,CCU,June,rural,predator,8,1270.56,158.82,85.56201734,9.593548403,108.7116768,12.18917886,15.89010015
75,CC,CCU,July,rural,predator,7,52.54666667,7.506666667,119.0568964,8.286304668,6.256043047,0.435417689,15.10731369
76,CC,CCU,August,rural,predator,29,428.6925,14.7825,123.0786998,7.922354291,52.76291553,3.396253867,14.69203777
77,CC,CCU,September,rural,predator,5,4.3,0.86,182.858156,13.07458629,0.786290071,0.056220721,13.98576995
134,CC,CCU,April,rural,scraper,62,84.9,1.369354839,45.21888104,3.448869258,3.839083,0.292809,13.11121926
135,CC,CCU,May,rural,scraper,31,14.46374788,0.466572512,99.43788324,59.85623487,1.438244473,0.86574549,12.62239511
136,CC,CCU,June,rural,scraper,7,2.5725,0.3675,134.3164966,14.98537415,0.345529188,0.038549875,8.963172708
137,CC,CCU,July,rural,scraper,9,0.4545,0.0505,,,,,
138,CC,CCU,August,rural,scraper,4,6.88,1.72,,,,,
172,CC,CCU,April,rural,shredder,5,651.5,130.3,49.71436614,3.295102379,32.38890954,2.1467592,13.24212426
173,CC,CCU,May,rural,shredder,1,52.8,52.8,80.16677796,1.701777757,4.232805876,0.089853866,48.67745739
174,CC,CCU,June,rural,shredder,4,448.48,112.12,67.88787135,2.953896509,30.44635254,1.324763506,26.68707063
13,FH,FHD,May,urban,collector,5,8.916666667,1.783333333,195.794,20.15264286,1.745829833,0.179694399,9.715549538
14,FH,FHD,June,urban,collector,9,0.045,0.005,,,,,
15,FH,FHD,July,urban,collector,1,0.005,0.005,,,,,
16,FH,FHD,September,urban,collector,5,0.025,0.005,,,,,
78,FH,FHD,April,urban,predator,2,3.1,1.55,132.2123387,8.568709677,0.40985825,0.026563,15.42966721
79,FH,FHD,May,urban,predator,8,0.266666667,0.033333333,,,,,
80,FH,FHD,September,urban,predator,1,59.19,59.19,85.9901039,3.855710424,5.08975425,0.2282195,22.30201297
175,FH,FHD,July,urban,shredder,1,15.38,15.38,34.83391092,5.8138329,0.53574555,0.08941675,5.991556951
176,FH,FHD,September,urban,shredder,1,11.88,11.88,79.18720539,15.25903479,0.940744,0.181277333,5.189529119
